NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
36,0,90.82501760001378,2772.6190708000045,33.85593880000215,3562.9367333999994,13.531571999999414,297.0826061999901,1.0762569576200944e-21
36,1,90.9930782857243,2558.3293148571415,33.44413128571335,3440.286479714302,13.414393142852532,284.4212197142854,1.266433419456879e-20
36,2,89.56564559999833,2555.8980862,33.555115199987995,3429.4792145999963,13.271169200004351,282.85420979998435,5.930630291479171e-21
36,3,91.23027200000422,2560.6630568749933,33.54013349999718,3430.3019277500084,13.265844000002858,282.37709575000025,5.662787143742629e-21
36,4,91.54364045454341,2564.243037818192,33.443084636360254,3420.902592545448,13.353515636352272,282.5506823636281,3.4077094658868404e-21
36,5,89.90526139999702,2575.307401199996,34.291630600000644,3417.0970647999866,13.249246999987463,281.2069469999983,7.092036861323712e-22
36,6,81.2288399999943,2562.7833800000417,33.176060999949186,3433.777544999998,13.36168499994983,282.5263610000093,3.92583180300922e-23
36,7,91.73724499999025,2572.733917799974,33.73387630001616,3455.0273828999934,13.318283999990399,282.44684519999055,1.032299651068317e-20
36,8,79.87419199992019,2561.510372999919,33.187717000032535,3416.0832219999975,13.24400400005743,281.2757069999634,5.844691801780478e-23
36,9,90.35225671430324,2553.4813487142856,33.4274672857191,3437.023634571428,13.235044142853829,282.71359114283507,1.405460458912564e-20
36,10,79.46807899998021,2562.3587579999594,33.21704699999373,3415.8900989999665,13.530034000041269,279.055949999929,4.054987902306437e-23
36,11,86.06845400004204,2563.005770000018,33.96806200004221,3441.053611999962,13.39797649995944,282.2753330000296,4.294150169358998e-23
36,12,90.01767233329853,2564.258101000007,33.3656450000035,3423.124787666628,13.252523333354324,281.298748666624,3.827974295648294e-21
36,13,91.6468962999943,2564.105493500005,33.52533609997863,3419.723133399975,13.289230399971075,282.12837190000073,1.857419466847404e-21
36,14,86.41263100003016,2560.2190945000416,33.36382150001782,3416.4661775000127,13.257707499974458,283.33991749997267,4.41065198591879e-23
36,15,89.93877259997589,2584.9855269999807,34.14995020002607,3434.8030590000008,13.225543800012929,281.99462380005116,1.0937260154437958e-20
36,16,81.17280900000878,2637.5720990000673,33.20774399992388,3552.589524000041,13.314334999904531,285.45913200002815,7.461476303284856e-23
36,17,89.80763533331053,2643.095803333381,34.25410499994541,3539.965592333298,14.170565666631774,291.31009866663743,1.8592624198637304e-22
36,18,92.33756766667511,2644.638619499991,34.804804666634936,3550.0487755000067,13.7773296666334,290.3860794999673,2.205051125488399e-21
36,19,94.30201000000125,2626.7823799999633,34.40949999999248,3530.514716799985,13.665487999992365,289.53804139996464,9.994859094648692e-21
36,20,79.7005460000264,2559.5278619999817,33.29516299993429,3426.4011239999945,13.180353000052492,280.4140680000273,4.57132383582425e-23
36,21,89.6063550000008,2559.31856520001,33.72574759996496,3423.4022656000207,13.339438199977849,282.6066858000104,7.147803563020657e-23
36,22,80.02407100002529,2572.5306950000686,33.317854999950214,3426.341236999974,13.141164999979082,283.0619520000255,7.204500438750559e-23
36,23,79.557806999901,2576.6111030000047,33.4875959999863,3423.3647720000135,13.211673999990126,281.29797600001893,3.677726793701627e-23
36,24,89.8840224000196,2571.6067240000257,33.56421979999595,3422.8325262,13.337016800005586,282.927209200011,2.3278922969707567e-22
36,25,92.17930655559788,2569.115877888862,33.62643255551726,3416.9259433333536,13.260539555530057,280.61695622221174,5.042835769400973e-21
36,26,85.66470400012349,2568.644342000084,33.53960900005859,3411.2253549999423,13.326160500014339,282.63367199997447,4.4596539946663775e-23
36,27,90.45081871425153,2580.7900377142237,34.22759842861264,3422.842165999977,13.375999428555067,309.2358191427788,6.712334699990251e-21
